Station,Year,Month,ThresholdF,Days90F,ValidDays,MaxTempMonth
DCA,1967,8,90,6,31,94.0
DCA,1968,8,90,17,31,98.0
DCA,1969,8,90,4,31,92.0
DCA,1970,8,90,15,31,94.0
DCA,1971,8,90,6,31,93.0
DCA,1972,8,90,3,31,92.0
DCA,1973,8,90,12,31,98.0
DCA,1974,8,90,9,31,93.0
DCA,1975,8,90,14,31,98.0
DCA,1976,8,90,8,31,94.0
DCA,1977,8,90,13,31,95.0
DCA,1978,8,90,15,31,93.0
DCA,1979,8,90,12,31,97.0
DCA,1980,8,90,22,31,100.0
DCA,1981,8,90,6,31,94.0
DCA,1982,8,90,3,31,92.0
DCA,1983,8,90,20,31,101.0
DCA,1984,8,90,4,31,91.0
DCA,1985,8,90,4,31,98.0
DCA,1986,8,90,4,31,95.0
DCA,1987,8,90,12,31,100.0
DCA,1988,8,90,20,31,103.0
DCA,1989,8,90,7,31,94.0
DCA,1990,8,90,7,31,93.0
DCA,1991,8,90,14,31,97.0
DCA,1992,8,90,5,31,93.0
DCA,1993,8,90,14,31,96.0
DCA,1994,8,90,3,31,93.0
DCA,1995,8,90,19,31,98.0
DCA,1996,8,90,2,31,93.0
DCA,1997,8,90,10,31,105.0
DCA,1998,8,90,11,31,97.0
DCA,1999,8,90,16,31,99.0
DCA,2000,8,90,3,31,92.0
DCA,2001,8,90,6,31,97.0
DCA,2002,8,90,19,31,100.0
DCA,2003,8,90,8,31,94.0
DCA,2004,8,90,1,31,91.0
DCA,2005,8,90,12,31,97.0
DCA,2006,8,90,15,31,101.0
DCA,2007,8,90,15,31,102.0
DCA,2008,8,90,7,31,94.0
DCA,2009,8,90,12,31,97.0
DCA,2010,8,90,13,31,98.0
DCA,2011,8,90,12,31,100.0
DCA,2012,8,90,15,31,98.0
DCA,2013,8,90,6,31,94.0
DCA,2014,8,90,3,31,96.0
DCA,2015,8,90,12,31,96.0
DCA,2016,8,90,23,31,101.0
DCA,2017,8,90,9,31,92.0
DCA,2018,8,90,17,31,94.0
DCA,2019,8,90,16,31,98.0
DCA,2020,8,90,7,31,93.0
DCA,2021,8,90,16,31,96.0
DCA,2022,8,90,15,31,97.0
DCA,2023,8,90,7,31,94.0
DCA,2024,8,90,13,31,101.0
DCA,2025,8,90,5,31,96.0
