Month-Day,RecordHigh,RecordHighYear,RecordLow,RecordLowYear,RecordLowMax,RecordLowMaxYear,RecordWarmMin,RecordWarmMinYear,NormalHigh,NormalLow
12-09,71.0,1991,4.0,1876,25.0,"1927, and prior",56.0,1980,50,36
12-10,67.0,"1966, and prior",4.0,1876,22.0,"1880, and prior",52.0,1966,50,36
12-11,70.0,2021,12.0,"1917, and prior",21.0,1917,48.0,"2021, and prior",50,35
12-12,71.0,1873,13.0,"1988, and prior",23.0,"1988, and prior",54.0,1873,50,35
12-13,71.0,"2015, and prior",11.0,1960,21.0,1960,51.0,"1991, and prior",49,35
12-14,70.0,"1931, and prior",6.0,1904,25.0,1904,58.0,1901,49,35
12-15,71.0,1971,6.0,1904,20.0,1914,48.0,2018,49,35
12-16,74.0,1971,10.0,1917,21.0,1951,53.0,1971,49,34
12-17,65.0,"2024, and prior",10.0,1876,20.0,1876,54.0,2021,48,34
12-18,74.0,2006,10.0,"1926, and prior",16.0,1919,50.0,2021,48,34
12-19,74.0,1924,6.0,1884,14.0,1884,47.0,"1984, and prior",48,34
12-20,66.0,"1889, and prior",5.0,1942,16.0,1884,52.0,1895,48,34
12-21,72.0,2013,4.0,1942,24.0,"1935, and prior",51.0,"2013, and prior",47,34
12-22,72.0,"2013, and prior",3.0,1872,17.0,1989,57.0,2013,47,33
12-23,71.0,"1990, and prior",7.0,1989,22.0,1989,57.0,1990,47,33
12-24,71.0,2015,5.0,1983,22.0,2022,60.0,2015,47,33
12-25,72.0,1964,3.0,1983,14.0,1983,57.0,2015,47,33
12-26,72.0,1889,4.0,1935,18.0,1914,52.0,1982,46,33
12-27,72.0,1971,2.0,1914,17.0,1925,51.0,2015,46,32
12-28,75.0,1946,10.0,1914,24.0,1894,51.0,2023,46,32
12-29,75.0,1984,2.0,"1917, and prior",14.0,1880,49.0,"2024, and prior",46,32
12-30,70.0,1990,-7.0,1880,9.0,"1917, and prior",51.0,1990,46,32
12-31,70.0,1965,-13.0,1880,12.0,1917,52.0,1884,46,32
