Month-Day,RecordPrecip_in,RecordYear,NormalPrecip_in
12-01,1.9,1974,0.11
12-02,1.34,1927,0.11
12-03,1.83,1901,0.12
12-04,1.73,1900,0.11
12-05,1.72,1993,0.12
12-06,1.47,1884,0.12
12-07,3.1,2011,0.11
12-08,1.35,1972,0.12
12-09,1.29,2009,0.12
12-10,2.23,1878,0.12
12-11,1.66,2008,0.12
12-12,1.36,1959,0.12
12-13,2.43,1909,0.11
12-14,1.89,1879,0.12
12-15,2.55,2018,0.11
12-16,1.19,1902,0.11
12-17,2.43,1888,0.11
12-18,2.81,1977,0.12
12-19,1.34,2009,0.11
12-20,1.56,1957,0.1
12-21,1.38,1905,0.11
12-22,1.68,1881,0.11
12-23,1.67,2015,0.11
12-24,2.36,1986,0.1
12-25,1.41,1945,0.1
12-26,1.42,2012,0.1
12-27,1.2,2023,0.1
12-28,1.38,1922,0.1
12-29,2.57,1901,0.1
12-30,1.81,1877,0.1
12-31,1.68,1975,0.09
